,video_name,tag
0,dataset/train/Archery/v_Archery_g01_c04.avi,Archery
1,dataset/train/Archery/v_Archery_g02_c01.avi,Archery
2,dataset/train/Archery/v_Archery_g02_c05.avi,Archery
3,dataset/train/Archery/v_Archery_g03_c02.avi,Archery
4,dataset/train/Archery/v_Archery_g04_c01.avi,Archery
5,dataset/train/Archery/v_Archery_g04_c03.avi,Archery
6,dataset/train/Archery/v_Archery_g05_c04.avi,Archery
7,dataset/train/Archery/v_Archery_g06_c01.avi,Archery
8,dataset/train/Archery/v_Archery_g06_c03.avi,Archery
9,dataset/train/Archery/v_Archery_g06_c05.avi,Archery
10,dataset/train/Archery/v_Archery_g07_c01.avi,Archery
11,dataset/train/Archery/v_Archery_g07_c05.avi,Archery
12,dataset/train/Archery/v_Archery_g08_c01.avi,Archery
13,dataset/train/Archery/v_Archery_g09_c02.avi,Archery
14,dataset/train/Archery/v_Archery_g10_c03.avi,Archery
15,dataset/train/Archery/v_Archery_g10_c05.avi,Archery
16,dataset/train/Archery/v_Archery_g11_c04.avi,Archery
17,dataset/train/Archery/v_Archery_g11_c06.avi,Archery
18,dataset/train/Archery/v_Archery_g13_c03.avi,Archery
19,dataset/train/Archery/v_Archery_g13_c07.avi,Archery
20,dataset/train/Archery/v_Archery_g14_c04.avi,Archery
21,dataset/train/Archery/v_Archery_g15_c02.avi,Archery
22,dataset/train/Archery/v_Archery_g19_c03.avi,Archery
23,dataset/train/Archery/v_Archery_g20_c05.avi,Archery
24,dataset/train/Archery/v_Archery_g22_c02.avi,Archery
25,dataset/train/Archery/v_Archery_g22_c04.avi,Archery
26,dataset/train/Archery/v_Archery_g23_c05.avi,Archery
27,dataset/train/Archery/v_Archery_g24_c04.avi,Archery
28,dataset/train/Archery/v_Archery_g24_c06.avi,Archery
29,dataset/train/Archery/v_Archery_g25_c04.avi,Archery
30,dataset/train/BabyCrawling/v_BabyCrawling_g01_c03.avi,BabyCrawling
31,dataset/train/BabyCrawling/v_BabyCrawling_g02_c01.avi,BabyCrawling
32,dataset/train/BabyCrawling/v_BabyCrawling_g02_c03.avi,BabyCrawling
33,dataset/train/BabyCrawling/v_BabyCrawling_g02_c05.avi,BabyCrawling
34,dataset/train/BabyCrawling/v_BabyCrawling_g05_c01.avi,BabyCrawling
35,dataset/train/BabyCrawling/v_BabyCrawling_g06_c04.avi,BabyCrawling
36,dataset/train/BabyCrawling/v_BabyCrawling_g07_c02.avi,BabyCrawling
37,dataset/train/BabyCrawling/v_BabyCrawling_g07_c06.avi,BabyCrawling
38,dataset/train/BabyCrawling/v_BabyCrawling_g08_c02.avi,BabyCrawling
39,dataset/train/BabyCrawling/v_BabyCrawling_g08_c04.avi,BabyCrawling
